"","Acidimicrobiia","Actinobacteria","Alphaproteobacteria","Bacteroidia","Gammaproteobacteria","Oxyphotobacteria","Other"
"Baltimore",0.0586492238816924,0.0960117671522758,0.0573358164226389,0.142805156997297,0.103817291108583,0.385158648612283,0.15622209582523
"Busan",0.0204432707507181,0.00623956297168895,0.300813674682592,0.307959398251829,0.210073916814457,0.136280800470628,0.0181893760580863
"Charleston",0.0895945462875786,0.0266517971774823,0.217916895331215,0.201797932704653,0.11393536303539,0.253052357048994,0.0970511084146876
"Duluth",0.0353904131656971,0.209778218629442,0.177810037178759,0.156371613818769,0.205377344488168,0.159268926353236,0.0560034463659302
"Galveston",0.109160977225488,0.0250949480739637,0.122073170958636,0.103543177415663,0.0790995145134249,0.437607810956105,0.123420400856719
"Green Bay",0.0442865356383305,0.316615963426683,0.0745008289281986,0.0876866483948936,0.165804618553478,0.228730595544441,0.0823748095139746
"Hong Kong",0.0208187861092129,0.00713424861775486,0.171515189165683,0.211328819034603,0.471515189165683,0.0672734049822948,0.0504143629247686
"Keweenaw",0.0485829759432578,0.143214662366454,0.0706727960835517,0.264612303839056,0.328696405079206,0.0154240298576798,0.128796826830794
"Los Angeles",0.00466355861962236,0.00661737242548202,0.351045134140553,0.313099778428884,0.0985463208629518,0.0808012868683772,0.14522654865413
"Martigues",0.00505996711331044,0.0307437903922558,0.33995196024695,0.34479722455333,0.19058590125116,0.0654492604623749,0.0234118959806189
"Naples",0.00142334584332498,0.00159866401609361,0.270190561939316,0.371995447670497,0.264868615372729,0.029089444954551,0.0608339202034879
"New Orleans",0.103488115722818,0.258113665841002,0.152229849323353,0.12567513804533,0.221212483263967,0.0155123166118755,0.123768431191655
"New York",0.0182600845649809,0.0318053598032849,0.281617873249036,0.313505666818801,0.226564180718943,0.0479422722365085,0.0803045626084456
"Norfolk",0.0451949360228103,0.026128437448453,0.145447958149728,0.158168284751514,0.0844958408935599,0.387122381412447,0.153442161321488
"Oakland",0.0606685918054856,0.0186210936295718,0.346722297012609,0.314834187999055,0.169336854761636,0.0472412623703871,0.042575712421256
"Rotterdam",0.011579663507869,0.170321313088382,0.124913401615673,0.439678484524382,0.211546036090315,0.000188375811300369,0.0417727253620786
"Seattle",0.031767232962312,0.0063327475102519,0.312552235891427,0.443706307361843,0.162581527045499,0.000976371802382347,0.0420835774262839
"Singapore",0.0405013881930388,0.00834930617211982,0.214066485514303,0.18793863743514,0.430288800566291,0.0900827811678552,0.0287726009512514
"Venice",0.00209255533199195,0.0470361149950551,0.272607850492787,0.346596187293251,0.173544316747945,0.0439723084268322,0.114150666712137
"Wilhelmshaven",0.0441853654355321,0.0101501933370159,0.401440979828187,0.33732547286615,0.101985275910017,0.00649059982094897,0.0984221128021486
